MES,DIA,HORA,PROVINCIA,CANTON,ZONA,NUM_FALLECIDO,NUM_LESIONADO,TOTAL_VICTIMAS,CLASE,CAUSA
1.0,3.0,1.0,9.0,0907,1.0,0.0,1.0,1.0,1.0,4.0
1.0,3.0,5.0,13.0,1312,2.0,0.0,1.0,1.0,3.0,7.0
1.0,3.0,3.0,12.0,1205,2.0,1.0,1.0,2.0,3.0,4.0
1.0,3.0,3.0,9.0,0928,2.0,1.0,0.0,1.0,1.0,4.0
1.0,3.0,7.0,23.0,2301,2.0,0.0,3.0,3.0,3.0,7.0
1.0,3.0,4.0,9.0,0901,2.0,1.0,1.0,2.0,7.0,4.0
1.0,3.0,4.0,9.0,0904,2.0,0.0,4.0,4.0,3.0,7.0
1.0,3.0,7.0,9.0,0910,2.0,1.0,1.0,2.0,5.0,4.0
1.0,3.0,7.0,9.0,0907,1.0,0.0,1.0,1.0,4.0,4.0
1.0,3.0,9.0,9.0,0904,1.0,0.0,3.0,3.0,1.0,4.0
1.0,3.0,4.0,23.0,2301,2.0,0.0,1.0,1.0,7.0,4.0
1.0,3.0,7.0,7.0,0712,2.0,0.0,1.0,1.0,7.0,4.0
1.0,3.0,10.0,9.0,0902,2.0,0.0,3.0,3.0,3.0,7.0
1.0,3.0,12.0,9.0,0908,2.0,0.0,1.0,1.0,2.0,5.0
1.0,3.0,2.0,9.0,0907,1.0,1.0,0.0,1.0,1.0,4.0
1.0,3.0,3.0,1.0,0115,2.0,1.0,0.0,1.0,7.0,4.0
1.0,3.0,13.0,9.0,0901,1.0,0.0,1.0,1.0,3.0,4.0
1.0,3.0,8.0,12.0,1205,2.0,0.0,0.0,0.0,7.0,4.0
1.0,3.0,1.0,9.0,0909,2.0,0.0,0.0,0.0,4.0,4.0
1.0,3.0,14.0,23.0,2302,2.0,0.0,2.0,2.0,3.0,4.0
1.0,3.0,9.0,24.0,2401,2.0,1.0,2.0,3.0,7.0,4.0
1.0,3.0,17.0,9.0,0909,1.0,1.0,0.0,1.0,1.0,4.0
1.0,3.0,9.0,24.0,2401,2.0,0.0,1.0,1.0,3.0,7.0
1.0,3.0,3.0,9.0,0909,1.0,0.0,2.0,2.0,1.0,4.0
1.0,3.0,9.0,24.0,2403,1.0,0.0,1.0,1.0,3.0,4.0
1.0,3.0,15.0,1.0,0102,2.0,0.0,0.0,0.0,3.0,7.0
1.0,3.0,19.0,9.0,0910,1.0,0.0,1.0,1.0,1.0,4.0
1.0,3.0,17.0,9.0,0901,2.0,1.0,8.0,9.0,7.0,4.0
1.0,3.0,14.0,13.0,1308,2.0,1.0,2.0,3.0,3.0,7.0
1.0,3.0,19.0,9.0,0908,2.0,0.0,1.0,1.0,3.0,7.0
1.0,3.0,21.0,12.0,1207,2.0,0.0,2.0,2.0,1.0,4.0
1.0,3.0,16.0,9.0,0907,1.0,0.0,1.0,1.0,4.0,4.0
1.0,3.0,10.0,24.0,2402,1.0,0.0,1.0,1.0,2.0,5.0
1.0,3.0,18.0,9.0,0914,1.0,0.0,1.0,1.0,1.0,4.0
1.0,3.0,19.0,9.0,0908,2.0,0.0,1.0,1.0,2.0,5.0
1.0,3.0,13.0,13.0,1307,2.0,0.0,0.0,0.0,7.0,4.0
1.0,3.0,21.0,9.0,0907,1.0,0.0,1.0,1.0,4.0,4.0
1.0,3.0,19.0,23.0,2301,2.0,0.0,0.0,0.0,3.0,7.0
1.0,3.0,18.0,9.0,0908,2.0,0.0,1.0,1.0,7.0,4.0
1.0,3.0,17.0,9.0,0927,2.0,0.0,1.0,1.0,2.0,5.0
1.0,3.0,5.0,23.0,2301,2.0,0.0,0.0,0.0,3.0,4.0
1.0,3.0,16.0,9.0,0906,2.0,0.0,0.0,0.0,3.0,7.0
1.0,3.0,2.0,9.0,0901,1.0,0.0,1.0,1.0,1.0,3.0
1.0,3.0,0.0,9.0,0901,1.0,0.0,1.0,1.0,3.0,7.0
1.0,3.0,2.0,9.0,0901,1.0,0.0,1.0,1.0,1.0,3.0
1.0,3.0,4.0,9.0,0901,1.0,0.0,3.0,3.0,3.0,7.0
1.0,3.0,5.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,1.0
1.0,3.0,5.0,9.0,0901,1.0,0.0,0.0,0.0,7.0,3.0
1.0,3.0,5.0,9.0,0901,1.0,1.0,0.0,1.0,1.0,3.0
1.0,3.0,6.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,3.0
1.0,3.0,4.0,9.0,0901,1.0,0.0,0.0,0.0,7.0,3.0
1.0,3.0,6.0,9.0,0901,1.0,0.0,1.0,1.0,4.0,3.0
1.0,3.0,6.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,3.0
1.0,3.0,6.0,9.0,0901,1.0,0.0,0.0,0.0,7.0,3.0
1.0,3.0,8.0,9.0,0901,1.0,0.0,1.0,1.0,4.0,3.0
1.0,3.0,7.0,9.0,0901,1.0,0.0,0.0,0.0,7.0,3.0
1.0,3.0,7.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,3.0
1.0,3.0,5.0,9.0,0901,1.0,0.0,0.0,0.0,4.0,3.0
1.0,3.0,8.0,9.0,0901,1.0,0.0,0.0,0.0,4.0,3.0
1.0,3.0,9.0,9.0,0901,1.0,0.0,0.0,0.0,4.0,3.0
1.0,3.0,10.0,9.0,0901,1.0,0.0,0.0,0.0,4.0,3.0
1.0,3.0,10.0,9.0,0901,1.0,0.0,2.0,2.0,3.0,2.0
1.0,3.0,10.0,9.0,0901,1.0,1.0,0.0,1.0,1.0,3.0
1.0,3.0,9.0,9.0,0901,1.0,0.0,2.0,2.0,3.0,1.0
1.0,3.0,9.0,9.0,0901,1.0,1.0,1.0,2.0,7.0,3.0
1.0,3.0,9.0,9.0,0901,1.0,0.0,2.0,2.0,7.0,3.0
1.0,3.0,9.0,9.0,0901,1.0,0.0,3.0,3.0,3.0,1.0
1.0,3.0,9.0,9.0,0901,1.0,0.0,2.0,2.0,6.0,3.0
1.0,3.0,13.0,9.0,0901,1.0,0.0,2.0,2.0,3.0,1.0
1.0,3.0,7.0,9.0,0901,1.0,0.0,2.0,2.0,4.0,3.0
1.0,3.0,15.0,9.0,0901,1.0,0.0,0.0,0.0,5.0,4.0
1.0,3.0,15.0,9.0,0901,1.0,0.0,1.0,1.0,3.0,7.0
1.0,3.0,12.0,9.0,0901,1.0,0.0,2.0,2.0,5.0,4.0
1.0,3.0,17.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,1.0
1.0,3.0,6.0,9.0,0901,1.0,0.0,0.0,0.0,7.0,3.0
1.0,3.0,18.0,9.0,0901,1.0,0.0,1.0,1.0,2.0,3.0
1.0,3.0,16.0,9.0,0901,1.0,0.0,2.0,2.0,3.0,7.0
1.0,3.0,19.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,3.0
1.0,3.0,17.0,9.0,0901,1.0,0.0,1.0,1.0,7.0,3.0
1.0,3.0,20.0,9.0,0901,1.0,0.0,2.0,2.0,1.0,3.0
1.0,3.0,22.0,9.0,0901,1.0,0.0,2.0,2.0,7.0,3.0
1.0,3.0,2.0,18.0,1806,2.0,0.0,1.0,1.0,4.0,4.0
1.0,3.0,7.0,11.0,1104,1.0,1.0,1.0,2.0,7.0,4.0
